       Unnamed: 0                       Date        Open        High         Low       Close   Adj Close   Volume Symbol                Name                  Sector\r
87056           0  2022-01-03 00:00:00-05:00  536.409973  538.960022  519.849976  523.849976  523.849976   173800    TYL  Tyler Technologies  Information Technology\r
87057           1  2022-01-04 00:00:00-05:00  525.440002  529.270020  511.670013  520.479980  520.479980   167100    TYL  Tyler Technologies  Information Technology\r
87058           2  2022-01-05 00:00:00-05:00  518.489990  518.489990  492.570007  492.589996  492.589996   214400    TYL  Tyler Technologies  Information Technology\r
87059           3  2022-01-06 00:00:00-05:00  489.679993  499.649994  485.010010  493.600006  493.600006   160400    TYL  Tyler Technologies  Information Technology\r
87060           4  2022-01-07 00:00:00-05:00  492.959991  499.209991  481.140015  483.589996  483.589996   195300    TYL  Tyler Technologies  Information Technology\r
87061           5  2022-01-10 00:00:00-05:00  474.880005  486.470001  472.209991  486.410004  486.410004   242100    TYL  Tyler Technologies  Information Technology\r
87062           6  2022-01-11 00:00:00-05:00  486.470001  505.500000  484.679993  505.000000  505.000000   283500    TYL  Tyler Technologies  Information Technology\r
87063           7  2022-01-12 00:00:00-05:00  505.339996  508.760010  501.899994  504.109985  504.109985   176500    TYL  Tyler Technologies  Information Technology\r
87064           8  2022-01-13 00:00:00-05:00  504.760010  509.959991  480.260010  480.420013  480.420013   134700    TYL  Tyler Technologies  Information Technology\r
87065           9  2022-01-14 00:00:00-05:00  478.100006  487.679993  472.000000  480.519989  480.519989   210200    TYL  Tyler Technologies  Information Technology\r
87066          10  2022-01-18 00:00:00-05:00  471.119995  474.470001  464.660004  465.940002  465.940002   149400    TYL  Tyler Technologies  Information Technology\r
87067          11  2022-01-19 00:00:00-05:00  468.970001  473.730011  461.959991  466.739990  466.739990   208800    TYL  Tyler Technologies  Information Technology\r
87068          12  2022-01-20 00:00:00-05:00  471.059998  479.000000  458.190002  458.679993  458.679993   157900    TYL  Tyler Technologies  Information Technology\r
87069          13  2022-01-21 00:00:00-05:00  459.980011  466.670013  452.910004  454.529999  454.529999   267500    TYL  Tyler Technologies  Information Technology\r
87070          14  2022-01-24 00:00:00-05:00  447.410004  467.450012  437.209991  466.820007  466.820007   303300    TYL  Tyler Technologies  Information Technology\r
87071          15  2022-01-25 00:00:00-05:00  456.070007  456.549988  441.070007  446.140015  446.140015   247300    TYL  Tyler Technologies  Information Technology\r
87072          16  2022-01-26 00:00:00-05:00  452.100006  456.640015  434.049988  437.230011  437.230011   201700    TYL  Tyler Technologies  Information Technology\r
87073          17  2022-01-27 00:00:00-05:00  441.809998  449.279999  430.660004  433.200012  433.200012   172900    TYL  Tyler Technologies  Information Technology\r
87074          18  2022-01-28 00:00:00-05:00  436.619995  450.809998  428.679993  450.519989  450.519989   162300    TYL  Tyler Technologies  Information Technology\r
87075          19  2022-01-31 00:00:00-05:00  450.170013  474.279999  450.170013  473.799988  473.799988   194600    TYL  Tyler Technologies  Information Technology\r
87076          20  2022-02-01 00:00:00-05:00  473.750000  479.980011  469.450012  475.350006  475.350006   169000    TYL  Tyler Technologies  Information Technology\r
87077          21  2022-02-02 00:00:00-05:00  475.299988  480.920013  466.570007  470.709991  470.709991   173700    TYL  Tyler Technologies  Information Technology\r
87078          22  2022-02-03 00:00:00-05:00  463.010010  465.179993  455.000000  461.390015  461.390015   196000    TYL  Tyler Technologies  Information Technology\r
87079          23  2022-02-04 00:00:00-05:00  459.619995  478.000000  454.299988  470.750000  470.750000   231100    TYL  Tyler Technologies  Information Technology\r
87080          24  2022-02-07 00:00:00-05:00  471.339996  479.470001  470.750000  471.750000  471.750000   155000    TYL  Tyler Technologies  Information Technology\r
87081          25  2022-02-08 00:00:00-05:00  468.459991  474.760010  467.190002  472.040009  472.040009   247100    TYL  Tyler Technologies  Information Technology\r
87082          26  2022-02-09 00:00:00-05:00  482.559998  491.220001  480.440002  491.070007  491.070007   142900    TYL  Tyler Technologies  Information Technology\r
87083          27  2022-02-10 00:00:00-05:00  480.010010  492.589996  478.769989  483.209991  483.209991   170900    TYL  Tyler Technologies  Information Technology\r
87084          28  2022-02-11 00:00:00-05:00  480.890015  485.119995  462.630005  467.670013  467.670013   242700    TYL  Tyler Technologies  Information Technology\r
87085          29  2022-02-14 00:00:00-05:00  467.440002  474.809998  460.420013  467.279999  467.279999   225400    TYL  Tyler Technologies  Information Technology\r
87086          30  2022-02-15 00:00:00-05:00  474.309998  479.769989  470.260010  477.130005  477.130005   202600    TYL  Tyler Technologies  Information Technology\r
87087          31  2022-02-16 00:00:00-05:00  474.359985  474.359985  462.130005  469.739990  469.739990   178600    TYL  Tyler Technologies  Information Technology\r
87088          32  2022-02-17 00:00:00-05:00  444.510010  453.369995  428.000000  428.619995  428.619995   451900    TYL  Tyler Technologies  Information Technology\r
87089          33  2022-02-18 00:00:00-05:00  426.049988  426.760010  409.850006  411.279999  411.279999   362200    TYL  Tyler Technologies  Information Technology\r
87090          34  2022-02-22 00:00:00-05:00  407.600006  414.549988  403.709991  408.329987  408.329987   301200    TYL  Tyler Technologies  Information Technology\r
87091          35  2022-02-23 00:00:00-05:00  409.130005  411.390015  397.119995  397.390015  397.390015   225900    TYL  Tyler Technologies  Information Technology\r
87092          36  2022-02-24 00:00:00-05:00  385.950012  427.679993  385.000000  425.290009  425.290009   332800    TYL  Tyler Technologies  Information Technology\r
87093          37  2022-02-25 00:00:00-05:00  423.190002  430.709991  416.559998  429.920013  429.920013   156700    TYL  Tyler Technologies  Information Technology\r
87094          38  2022-02-28 00:00:00-05:00  426.880005  434.829987  420.989990  428.260010  428.260010   249800    TYL  Tyler Technologies  Information Technology\r
87095          39  2022-03-01 00:00:00-05:00  428.510010  428.880005  419.589996  422.329987  422.329987   192800    TYL  Tyler Technologies  Information Technology\r
87096          40  2022-03-02 00:00:00-05:00  426.390015  431.010010  418.220001  427.410004  427.410004   151500    TYL  Tyler Technologies  Information Technology\r
87097          41  2022-03-03 00:00:00-05:00  431.799988  439.320007  418.309998  420.470001  420.470001   158400    TYL  Tyler Technologies  Information Technology\r
87098          42  2022-03-04 00:00:00-05:00  420.670013  424.390015  411.649994  416.679993  416.679993   140700    TYL  Tyler Technologies  Information Technology\r
87099          43  2022-03-07 00:00:00-05:00  421.100006  422.079987  408.190002  408.230011  408.230011   277800    TYL  Tyler Technologies  Information Technology\r
